,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent
Ala.,0.02,>,0,0.02,>,0,3000,8500,1500,3000,1000
"(a, b, c)",0.04,>,500,0.04,>,1000
,0.05,>,3000,0.05,>,6000

Alaska,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.

"Ariz. (e, f, u)",0.025,>,0,0.025,>,0,15000,30000,n.a.,n.a.,$100 credit

Ark.,0.02,>,0,0.02,>,0,2410,4820,$29 credit,$58 credit,$29 credit
"(d, g, h, j, kk)",0.039,>,4500,0.039,>,4500


Calif.,0.01,>,0,0.01,>,0,5540,11080,$149 credit,$298 credit,$461 credit
"(a, h, j, k, l, m, n, nn)",0.02,>,10756,0.02,>,21512
,0.04,>,25499,0.04,>,50998
,0.06,>,40245,0.06,>,80490
,0.08,>,55866,0.08,>,111732
,0.093,>,70606,0.093,>,141732
,0.103,>,360659,0.103,>,721318
,0.113,>,432787,0.113,>,865574
,0.123,>,721314,0.123,>,1000000
,0.133,>,1000000,0.133,>,1442628

"Colo. (a, o)",0.044,>,0,0.044,>,0,15000,30000,n.a.,n.a.,n.a.

Conn.,0.02,>,0,0.02,>,0,n.a.,n.a.,15000,24000,0
"(i, p, q, r)",0.045,>,10000,0.045,>,20000
,0.055,>,50000,0.055,>,100000
,0.06,>,100000,0.06,>,200000
,0.065,>,200000,0.065,>,400000
,0.069,>,250000,0.069,>,500000
,0.0699,>,500000,0.0699,>,1000000

Del.,0.022,>,2000,0.022,>,2000,3250,6500,$110 credit,$220 credit,$110 credit
"(a, h, m, s)",0.039,>,5000,0.039,>,5000
,0.048,>,10000,0.048,>,10000
,0.052,>,20000,0.052,>,20000
,0.0555,>,25000,0.0555,>,25000
,0.066,>,60000,0.066,>,60000

Fla.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.

Ga.,0.0539,>,0,0.0539,>,0,12000,24000,n.a.,n.a.,4000

Hawaii,0.014,>,0,0.014,>,0,4400,8800,1144,2288,1144
"(m, t)",0.032,>,9600,0.032,>,19200
,0.055,>,14400,0.055,>,28800
,0.064,>,19200,0.064,>,38400
,0.068,>,24000,0.068,>,48000
,0.072,>,36000,0.072,>,72000
,0.076,>,48000,0.076,>,96000
,0.079,>,125000,0.079,>,250000
,0.0825,>,175000,0.0825,>,350000
,0.09,>,225000,0.09,>,450000
,0.1,>,275000,0.1,>,550000
,0.11,>,325000,0.11,>,650000

"Idaho (j, m, u)",0.05695,>,4673,0.05695,>,9346,15000,30000,n.a.,n.a.,n.a.

"Ill. (d, m, v)",0.0495,>,0,0.0495,>,0,n.a.,n.a.,2850,5700,2850

"Ind. (a, m, w)",0.03,>,0,0.03,>,0,n.a.,n.a.,1000,2000,1000

Iowa,0.038,>,0,0.038,>,0,n.a.,n.a.,$40 credit,$80 credit,$40 credit
"(a, h)"

Kans. ,0.052,>,0,0.052,>,0,3605,8240,9160,18320,2320
"(a, m)",0.0558,>,23000,0.0558,>,46000

Ky.,0.04,>,0,0.04,>,0,3270,6540,n.a.,n.a.,n.a.
"(a, d)"

La.,0.03,>,0,0.03,>,0,12500,25000,n.a.,n.a.,n.a.
(x)

Maine,0.058,>,0,0.058,>,0,15000,30000,5150,10300,$300 credit
"(u, y, bb)",0.0675,>,26800,0.0675,>,53600
,0.0715,>,63450,0.0715,>,126900

Md.,0.02,>,0,0.02,>,0,2700,5450,3200,6400,3200
"(a, m, n, z, aa)",0.03,>,1000,0.03,>,1000
,0.04,>,2000,0.04,>,2000
,0.0475,>,3000,0.0475,>,3000
,0.05,>,100000,0.05,>,150000
,0.0525,>,125000,0.0525,>,175000
,0.055,>,150000,0.055,>,225000
,0.0575,>,250000,0.0575,>,300000

"Mass. (bb, rr)",0.05,>,0,0.05,>,0,n.a.,n.a.,4400,8800,1000
,0.09,>,1083150,0.09,>,1083150

"Mich. (a, d)",0.0425,>,0,0.0425,>,0,n.a.,n.a.,5800,11600,5800

Minn. ,0.0535,>,0,0.0535,>,0,14950,29900,n.a.,n.a.,5200
"(d, bb, cc, oo)",0.068,>,32570,0.068,>,47620
,0.0785,>,106990,0.0785,>,189180
,0.0985,>,198630,0.0985,>,330410

Miss.,0.044,>,10000,0.044,>,10000,2300,4600,6000,12000,1500

Mo.,0.02,>,1313,0.02,>,1313,15000,30000,n.a,n.a,n.a
"(a, b, m, u, bb)",0.025,>,2626,0.025,>,2626
,0.03,>,3939,0.03,>,3939
,0.035,>,5252,0.035,>,5252
,0.04,>,6565,0.04,>,6565
,0.045,>,7878,0.045,>,7878
,0.047,>,9191,0.047,>,9191

Mont.,0.047,>,0,0.047,>,0,15000,30000,n.a,n.a,n.a
"(o, u, bb)",0.059,>,21100,0.059,>,42200

Nebr.,0.0246,>,0,0.0246,>,0,8600,17200,$171 credit,$342 credit,$171 credit
"(d, h, m, bb)",0.0351,>,4030,0.0351,>,8040
,0.0501,>,24120,0.0501,>,48250
,0.052,>,38870,0.052,>,77730

Nev.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.

N.H.,none,,,none,,,n.a,n.a,n.a.,n.a.,n.a.

N.J. ,0.014,>,0,0.014,>,0,n.a.,n.a.,1000,2000,1500
(a),0.0175,>,20000,0.0175,>,20000
,0.035,>,35000,0.0245,>,50000
,0.05525,>,40000,0.035,>,70000
,0.0637,>,75000,0.05525,>,80000
,0.0897,>,500000,0.0637,>,150000
,0.1075,>,1000000,0.0897,>,500000
,,,,0.1075,>,1000000

N.M.,0.015,>,0,0.015,>,0,15000,30000,n.a.,n.a.,4000
"(m, o, u, jj)",0.032,>,5500,0.032,>,8000
,0.043,>,16500,0.043,>,25000
,0.047,>,33500,0.047,>,50000
,0.049,>,66500,0.049,>,100000
,0.059,>,210000,0.059,>,315000

N.Y.,0.04,>,0,0.04,>,0,8000,16050,n.a.,n.a.,1000
"(a, i)",0.045,>,8500,0.045,>,17150
,0.0525,>,11700,0.0525,>,23600
,0.055,>,13900,0.055,>,27900
,0.06,>,80650,0.06,>,161550
,0.0685,>,215400,0.0685,>,323200
,0.0965,>,1077550,0.0965,>,2155350
,0.103,>,5000000,0.103,>,5000000
,0.109,>,25000000,0.109,>,25000000

N.C.,0.0425,>,0,0.0425,>,0,12750,25500,n.a.,n.a.,n.a.

N.D.,0.0195,>,48475,0.0195,>,80975,15000,30000,n.a.,n.a.,n.a.
"(j, o, u)",0.025,>,244825,0.025,>,298075

Ohio,0.0275,>,26050,0.0275,>,26050,n.a.,n.a.,2400,4800,2400
"(a, j, dd, pp)",0.035,>,100000,0.035,>,100000

Okla. ,0.0025,>,0,0.0025,>,0,6350,12700,1000,2000,1000
(m),0.0075,>,1000,0.0075,>,2000
,0.0175,>,2500,0.0175,>,5000
,0.0275,>,3750,0.0275,>,7500
,0.0375,>,4900,0.0375,>,9800
,0.0475,>,7200,0.0475,>,14400

