 ,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption,,, , ,,,,,,
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,,,,,,,
Ala.,2.00%,>,$0 ,2.00%,>,$0 ,"$3,000 ","$8,500 ","$1,500 ","$3,000 ","$1,000 ",,,,,,,,
"(a, b, c, uu)",4.00%,>,$500 ,4.00%,>,"$1,000 ", , , ,,,,,,,,,,
,5.00%,>,"$3,000 ",5.00%,>,"$6,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Alaska,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
"Ariz. (e, f, u, vv)",2.50%,>,$0 ,2.50%,>,$0 ,"$8,350 ","$16,700 ",n.a.,n.a.,$100 credit,,,,,,,,
, ,,, ,,, ,,,,,,,,,,,,
Ark.,2.00%,>,$0 ,2.00%,>,$0 ,"$2,470 ","$4,940 ",$29 credit,$58 credit,$29 credit,,,,,,,,
"(d, g, h, j, kk)",3.90%,>,"$4,600 ",3.90%,>,"$4,600 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Calif.,1.00%,>,$0 ,1.00%,>,$0 ,"$5,540 ","$11,080 ",$153 credit,$306 credit,$153 credit,,,,,,,,
"(a, h, j, k, l, m, n, nn)",2.00%,>,"$11,079 ",2.00%,>,"$22,158 ", ,,,,,,,,,,,,
,4.00%,>,"$26,264 ",4.00%,>,"$52,528 ", ,, ,,,,,,,,,,
,6.00%,>,"$41,452 ",6.00%,>,"$82,904 ", ,, ,,,,,,,,,,
,8.00%,>,"$57,542 ",8.00%,>,"$115,084 ", ,, ,,,,,,,,,,
,9.30%,>,"$72,724 ",9.30%,>,"$145,448 ", ,, ,,,,,,,,,,
,10.30%,>,"$371,479 ",10.30%,>,"$742,958 ", ,, ,,,,,,,,,,
,11.30%,>,"$445,771 ",11.30%,>,"$891,542 ", ,, ,,,,,,,,,,
,12.30%,>,"$742,953 ",12.30%,>,"$1,000,000 ", ,, ,,,,,,,,,,
,13.30%,>,"$1,000,000 ",13.30%,>,"$1,485,906 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
"Colo. (a, o)",4.40%,>,$0 ,4.40%,>,$0 ,"$16,100 ","$32,200 ",n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Conn.,2.00%,>,$0 ,2.00%,>,$0 ,n.a.,n.a.,"$15,000 ","$24,000 ",$0 ,,,,,,,,
"(i, p, q, r)",4.50%,>,"$10,000 ",4.50%,>,"$20,000 ", ,, ,,,,,,,,,,
,5.50%,>,"$50,000 ",5.50%,>,"$100,000 ", ,, ,,,,,,,,,,
,6.00%,>,"$100,000 ",6.00%,>,"$200,000 ", ,, ,,,,,,,,,,
,6.50%,>,"$200,000 ",6.50%,>,"$400,000 ", ,, ,,,,,,,,,,
,6.90%,>,"$250,000 ",6.90%,>,"$500,000 ", ,, ,,,,,,,,,,
,6.99%,>,"$500,000 ",6.99%,>,"$1,000,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Del.,2.20%,>,"$2,000 ",2.20%,>,"$2,000 ","$3,250 ","$6,500 ",$110 credit,$220 credit,$110 credit,,,,,,,,
"(a, h, m, s)",3.90%,>,"$5,000 ",3.90%,>,"$5,000 ", ,,,,,,,,,,,,
,4.80%,>,"$10,000 ",4.80%,>,"$10,000 ", ,, ,,,,,,,,,,
,5.20%,>,"$20,000 ",5.20%,>,"$20,000 ", ,, ,,,,,,,,,,
,5.55%,>,"$25,000 ",5.55%,>,"$25,000 ", ,, ,,,,,,,,,,
,6.60%,>,"$60,000 ",6.60%,>,"$60,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Fla.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Ga.,5.19%,>,$0 ,5.19%,>,$0 ,"$12,000 ","$24,000 ",n.a.,n.a.,"$4,000 ",,,,,,,,
, ,,, ,,, ,,,,,,,,,,,,
Hawaii,1.40%,>,$0 ,1.40%,>,$0 ,"$4,400 ","$8,800 ","$1,144 ","$2,288 ","$1,144 ",,,,,,,,
"(m, t)",3.20%,>,"$9,600 ",3.20%,>,"$19,200 ", ,,,,,,,,,,,,
,5.50%,>,"$14,400 ",5.50%,>,"$28,800 ", ,, ,,,,,,,,,,
,6.40%,>,"$19,200 ",6.40%,>,"$38,400 ", ,, ,,,,,,,,,,
,6.80%,>,"$24,000 ",6.80%,>,"$48,000 ", ,, ,,,,,,,,,,
,7.20%,>,"$36,000 ",7.20%,>,"$72,000 ", ,, ,,,,,,,,,,
